id,shoe_name,shoe_price,shoe_category,shoe_nColors,shoe_genre
IE3439,Tenis Samba OG,"$2,199",Originals,3,Hombre
GW9284,Tenis Advantage Base adidas Court Lifestyle,"$1,299",Sportswear,6,Hombre
IH3119,Tenis Samba OG,"$2,199",Originals,2,Hombre
IH3121,Tenis Superstar,"$2,199",Originals,2,Hombre
IE3438,Tenis Samba OG,"$2,199",Originals,3,Hombre
IH3118,SAMBA OG,"$2,199",Originals,2,Hombre
IG6171,SAMBA DECON,"$2,599",Originals,2,Hombre
ID0718,Calzado de Fútbol X Crazyfast Messi League Pasto Sintético,"$2,199",Fútbol,1,Hombre
IG2936,Y-3 GENDO SUPERSTAR,"$16,899",Y-3,1,Hombre
IG6172,SAMBA DECON,"$2,599",Originals,2,Hombre
IE2695,Tenis Harden Volume 8,"$3,899",Basketball,3,Hombre
IE3440,Tenis Samba OG,"$2,199",Originals,2,Hombre
EG4958,Tenis Superstar,Unknown,Originals,23,Hombre
IE1809,Calzado de Fútbol Predator Elite Lengüeta Plegable Terreno Firme,Unknown,Fútbol,1,Hombre
ID6285,Tenis adidas VL Court 3.0,Unknown,Sportswear,4,Hombre
GX5948,Tenis Courtphase,"$1,399",Sportswear,2,Hombre
HP6029,Tenis Daily 3.0,"$1,399",Sportswear,4,Hombre
EG4959,Tenis Superstar,"$2,199",Originals,23,Hombre
IE5676,PREDATOR MUNDIAL,"$2,399",Originals,2,Hombre
IH3120,Tenis Superstar,"$2,199",Originals,2,Hombre
IG5535,Tenis NMD_R1,"$2,685",Originals,31,Hombre
GW5488,Tenis adidas Court Low Streetcheck Cloudfoam,"$1,427",Sportswear,4,Hombre
GY7163,Tenis PostMove Mid,"$1,529",Hombre Sportswear,4,Hombre
H02177,Tenis adidas Court Tourino,"$1,500",Originals,3,Hombre
FY7756,Tenis Forum Low,"$2,399",Originals,11,Hombre
IH3241,Tenis Jamaica OG,"$2,199",Originals,1,Hombre
IG6440,ADIZERO ADIOS PRO 3 M,"$4,999",Running,7,Hombre
FX5119,Tenis Multix,"$1,421",Originals,6,Hombre
ID7442,Tenis Tennis Hu,"$2,399",Originals,5,Hombre
IG7716,Calzado de Fútbol Predator 24 League Sin Cordones Pasto Sintético,"$2,399",Fútbol,2,Hombre
ID0712,Calzado de Fútbol X Crazyfast Messi League Terreno Firme,"$2,199",Fútbol,1,Hombre
GW6725,Tenis EQ21 Run,"$1,172",Running,10,Hombre
DB3021,Tenis Handball Spezial,"$2,199",Originals,10,Hombre
IE9629,Tenis Astir,"$2,183",Originals,7,Hombre
019228,Calzado de Fútbol Mundial Team,"$2,999",Fútbol,1,Hombre
IE2063,Tenis NMD_R1,"$2,685",Originals,31,Hombre
HP7663,Tenis adidas 4D FWD,"$5,499",Running,1,Hombre
IE2310,Tenis de Plataforma Bravada 2.0,"$1,399",Sportswear,4,Hombre
GY0042,CAMPUS 00s W,"$2,499",Originals,4,Hombre
IE2168,Tenis adidas Court Silk,"$1,034",Sportswear,2,Hombre
IE1987,Tenis Galaxy 6,"$1,184",Running,14,Hombre
IF9707,Tenis Amsterdam,"$2,199",Originals,2,Hombre
IG8308,Tenis Falcon,"$1,869",Originals,9,Hombre
ID7078,Tenis Forum Bold,"$2,399",Originals,1,Hombre
ID0726,Calzado de Fútbol X Crazyfast Messi Club Pasto Sintético,"$1,699",Fútbol,1,Hombre
IE1694,Tenis Ultraboost Light 23,"$2,559",Running,21,Hombre
ID6998,Tenis Gazelle,"$2,499",Originals,2,Hombre
IG6201,Tenis Gazelle,"$2,099",Originals,2,Hombre
IG9777,Tenis Superstar XLG,"$2,499",Originals,7,Hombre
F35550,Sandalias Adilette Aqua (UNISEX),$599,Yoga,15,Hombre
IE4465,Tenis Midcity Mid,"$1,799",Sportswear,2,Hombre
IE0657,ALOHA SUPER,"$2,199",Originals,1,Hombre
HQ6340,Tenis Ultraboost Light 23,"$3,359",Running,21,Hombre
GW5489,Tenis adidas Court Low Streetcheck Cloudfoam,"$1,427",Sportswear,4,Hombre
IF5611,Tenis Trae Unlimited,"$1,895",Basketball,1,Hombre
IG9984,Tenis Retropy F2,"$1,658",Originals,4,Hombre
IF5609,Tenis Trae Unlimited,"$1,895",Basketball,3,Hombre
ID0724,X CRAZYFAST CLUB FxG MESSI,"$1,699",Fútbol,1,Hombre
ID1969,Tenis adidas Court Plataforma,"$1,299",Sportswear,5,Hombre
IF5860,Tenis Country OG,"$2,199",Originals,1,Hombre
GX1822,Tenis de Trail Running Terrex Soulstride Flow,"$2,519",TERREX,4,Hombre
H04621,Tenis Duramo SL,$876,Running,8,Hombre
ID3109,Tenis Superstar,"$2,199",Originals,2,Hombre
IG4715,Tenis Swift Run,Unknown,Sportswear,4,Hombre
IG7764,Calzado de Fútbol Predator Club Multiterreno con Ajuste tipo Calcetín,Unknown,Fútbol,1,Hombre
BB5498,Tenis Gazelle,Unknown,Originals,14,Hombre
ID4714,Tenis NMD_R1,Unknown,Originals,1,Hombre
FW2883,Tenis Bravada,Unknown,Sportswear,3,Hombre
GX4414,Tenis Forum Bonega,Unknown,Originals,3,Hombre
GY2565,Tenis Superstar,"$2,299",Originals,23,Hombre
IF8913,Tenis Handball Spezial,"$2,199",Originals,10,Hombre
H05279,Tenis adidas adidas Court Tourino,"$1,500",Originals,3,Hombre
ID7313,Tenis Adizero Adios Pro 3 Cierra,"$4,199",Running,1,Hombre
FX5502,Tenis Stan Smith,"$2,099",Originals,10,Hombre
IG7715,Calzado de Fútbol Predator 24 League Sin Cordones Pasto Sintético,"$2,399",Fútbol,2,Hombre
IF9706,Tenis Amsterdam,"$2,199",Originals,2,Hombre
IF9167,TERREX HYDROTERRA AT,"$2,499",TERREX,1,Hombre
HQ4654,Tenis Adifom Superstar,"$1,799",Originals,3,Hombre
IF7913,Tenis Superstar,"$2,199",Originals,1,Hombre
ID7443,Tenis Tennis Hu,"$2,399",Originals,5,Hombre
FZ6265,Tenis Forum Low Classic,"$2,399",Originals,10,Hombre
IG8507,Tenis X_PLR Boost,"$3,999",Sportswear,2,Hombre
IF2232,Tenis Questar,"$1,500",Running,7,Hombre
IF4215,Tenis Fear of God Athletics Los Angeles,"$2,899",Fear of God Athletics,1,Hombre
ID8469,ADIZERO ADIOS PRO 3 M,Unknown,Running,7,Hombre
IF6249,RIVALRY LOW,Unknown,Originals,2,Hombre
HP9636,Tenis Adistar CS 2.0,Unknown,Running,2,Hombre
IG7769,Calzado de Fútbol Predator League sin Cordones Terreno Firme,Unknown,Fútbol,2,Hombre
GY5774,Calzado de Fútbol Goletto VIII Pasto Sintético,Unknown,Fútbol,3,Hombre
IE0172,ADIDAS  X NICEKICKS SAMBA,Unknown,Originals,1,Hombre
IG5534,Tenis NMD_R1,"$2,685",Originals,31,Hombre
GV9766,Tenis Forum Low,"$2,399",Originals,11,Hombre
FY7755,Tenis Forum Low,"$2,399",Originals,11,Hombre
ID7444,Tenis Tennis Hu,"$2,399",Originals,5,Hombre
HQ4199,Tenis Ultraboost 1.0,"$3,999",Sportswear,6,Hombre
IG9649,Tenis Forum Bonega,"$2,699",Originals,3,Hombre
HP6121,Tenis Run 70s,"$1,061",Hombre Sportswear,4,Hombre
GW2063,Tenis Advantage Base adidas Court Lifestyle,"$1,299",Sportswear,6,Hombre
IG9986,Tenis Retropy F2,"$1,763",Originals,4,Hombre
IG7759,Calzado de Fútbol Predator Club Multiterreno,"$1,499",Fútbol,3,Hombre
IG3097,Tenis Trae Young 1,"$2,606",Basketball,3,Hombre
ID8470,ADIZERO ADIOS PRO 3 M,"$4,999",Running,7,Hombre
IG7905,Tenis Postmove SE,"$1,444",Sportswear,2,Hombre
IG7494,Sandalias Adilette 22,"$1,299",Hombre Originals,14,Hombre
HP2249,Tenis Run 60s 3.0 Lifestyle Running,"$1,499",Sportswear,5,Hombre
IF7805,Y-3 GSG9,"$9,499",Y-3,1,Hombre
IF8068,Tenis Superstar XLG,"$2,183",Originals,7,Hombre
ID2958,Tenis Country OG,"$2,199",Originals,1,Hombre
IE1989,Tenis Galaxy 6,"$1,184",Running,14,Hombre
H03734,CAMPUS 00s REGENERATIVE COTTON,"$2,599",Originals,2,Hombre
IF4861,Tenis de Senderismo Terrex AX4 GORE-TEX,"$2,606",TERREX,5,Hombre
ID2970,Tenis adidas Grand Court 2.0,Unknown,Sportswear,2,Hombre
IG0731,Tenis Racer TR23,Unknown,Sportswear,11,Hombre
GX5949,Tenis Courtphase,Unknown,Sportswear,2,Hombre
ID4953,Tenis Dropset 2,Unknown,Training,10,Hombre
IF6262,RIVALRY 86 LOW,Unknown,Originals,3,Hombre
GW8336,Tenis Duramo SL 2.0,Unknown,Running,5,Hombre
GY2586,Tenis Adizero Boston 11,"$3,611",Running,6,Hombre
ID3026,Tenis Grand Court Base 2.0,Unknown,Sportswear,1,Hombre
ID8615,Tenis Forum Mid,Unknown,Originals,1,Hombre
ID0263,Tenis Adizero Prime X 2.0 STRUNG,"$5,999",Running,2,Hombre
IF3670,Sandalias Adilette 22,"$1,299",Hombre Originals,1,Hombre
GW4131,Tenis Galaxy 6,"$1,499",Running,14,Hombre
HQ1351,ADIZERO SL,"$1,592",Running,16,Hombre
ID0664,CAMPUS 00s,"$2,499",Originals,1,Hombre
IG3305,Tenis Dropset 2,"$2,599",Training,10,Hombre
IE4351,Tenis Supernova Running 3,"$1,415",Running,4,Hombre
G48060,Tenis Busenitz Pro,"$2,299",Originals,1,Hombre
ID6286,Tenis adidas VL Court 3.0,"$1,499",Sportswear,4,Hombre
IE7175,Tenis Forum Low,"$2,399",Originals,11,Hombre
IE4518,Tenis Midcity Low,"$1,699",Sportswear,4,Hombre
IG5450,Calzado de Fútsal Predator Club Cancha Cubierta,"$1,499",Fútbol,2,Hombre
IG4988,Tenis Gazelle,Unknown,Originals,2,Hombre
GC0989,Restound M,Unknown,Running,2,Hombre
HQ7114,Tenis Forum Exhibit Low,Unknown,Hombre Originals,2,Hombre
ID9669,Tenis Ultraboost 1.0,Unknown,Running,7,Hombre
GY7433,Calzado X Crazyfast.4 Multiterreno,Unknown,Fútbol,3,Hombre
IH7515,Tenis Samba DDM,Unknown,Originals,3,Hombre
IG6199,Tenis Gazelle,"$2,099",Originals,2,Hombre
ID1747,Tenis Ultraboost 1.0,"$4,599",Running,2,Hombre
IG3114,Tenis Barricade para Tenis,"$3,299",Tennis,3,Hombre
IE0475,FORUM LOW,"$2,399",Hombre Originals,11,Hombre
GY4727,Tenis Hoops 3.0 Low Classic Vintage,"$1,499",Sportswear,7,Hombre
IF6505,Tenis Courtblock,"$1,199",Sportswear,4,Hombre
IG6195,Tenis Bali,"$2,399",Originals,1,Hombre
