shoe_name,shoe_price,shoe_category,shoe_nColors
Tenis Samba OG,"$2,199",Originals,3
Tenis Advantage Base adidas Court Lifestyle,"$1,299",Sportswear,6
Tenis Samba OG,"$2,199",Originals,2
Tenis Superstar,"$2,199",Originals,2
Tenis Samba OG,"$2,199",Originals,3
SAMBA OG,"$2,199",Originals,2
SAMBA DECON,"$2,599",Originals,2
Calzado de Fútbol X Crazyfast Messi League Pasto Sintético,"$2,199",Fútbol,1
Y-3 GENDO SUPERSTAR,"$16,899",Y-3,1
SAMBA DECON,"$2,599",Originals,2
Tenis Harden Volume 8,"$3,899",Basketball,3
Tenis Samba OG,"$2,199",Originals,2
Tenis Superstar,"$2,199",Originals,23
Calzado de Fútbol Predator Elite Lengüeta Plegable Terreno Firme,"$9,999",Fútbol,1
Tenis adidas VL Court 3.0,"$1,499",Sportswear,4
Tenis Courtphase,"$1,399",Sportswear,2
Tenis Daily 3.0,"$1,399",Sportswear,4
Tenis Superstar,"$2,199",Originals,23
PREDATOR MUNDIAL,"$2,399",Originals,2
Tenis Superstar,"$2,199",Originals,2
Tenis NMD_R1,"$2,685",Originals,31
Tenis adidas Court Low Streetcheck Cloudfoam,"$1,427",Sportswear,4
Tenis PostMove Mid,"$1,529",Hombre Sportswear,4
Tenis adidas Court Tourino,"$1,500",Originals,3
Tenis Jamaica OG,"$2,199",Originals,1
Tenis Forum Low,"$2,399",Originals,11
ADIZERO ADIOS PRO 3 M,"$4,999",Running,7
Tenis Multix,"$1,421",Originals,6
Tenis Tennis Hu,"$2,399",Originals,5
Calzado de Fútbol Predator 24 League Sin Cordones Pasto Sintético,"$2,399",Fútbol,2
Calzado de Fútbol X Crazyfast Messi League Terreno Firme,"$2,199",Fútbol,1
Tenis EQ21 Run,"$1,172",Running,10
Tenis Handball Spezial,"$2,199",Originals,10
Tenis Astir,"$2,183",Originals,7
Calzado de Fútbol Mundial Team,"$2,999",Fútbol,1
Tenis NMD_R1,"$2,685",Originals,31
Tenis adidas 4D FWD,"$5,499",Running,1
Tenis de Plataforma Bravada 2.0,"$1,399",Sportswear,4
CAMPUS 00s W,"$2,499",Originals,4
Tenis adidas Court Silk,"$1,034",Sportswear,2
Tenis Galaxy 6,"$1,184",Running,14
Tenis Amsterdam,"$2,199",Originals,2
Tenis Falcon,"$1,869",Originals,9
Tenis Forum Bold,"$2,399",Originals,1
Calzado de Fútbol X Crazyfast Messi Club Pasto Sintético,"$1,699",Fútbol,1
Tenis Ultraboost Light 23,"$2,559",Running,21
Tenis Gazelle,"$2,499",Originals,2
Tenis Superstar XLG,"$2,499",Originals,7
Tenis Gazelle,"$2,099",Originals,2
Sandalias Adilette Aqua (UNISEX),$599,Yoga,15
Tenis Midcity Mid,"$1,799",Sportswear,2
ALOHA SUPER,"$2,199",Originals,1
Tenis Ultraboost Light 23,"$3,359",Running,21
Tenis adidas Court Low Streetcheck Cloudfoam,"$1,427",Sportswear,4
Tenis Retropy F2,"$1,658",Originals,4
Tenis Trae Unlimited,"$1,895",Basketball,1
Tenis Trae Unlimited,"$1,895",Basketball,3
X CRAZYFAST CLUB FxG MESSI,"$1,699",Fútbol,1
Tenis adidas Court Plataforma,"$1,299",Sportswear,5
Tenis Country OG,"$2,199",Originals,1
Tenis de Trail Running Terrex Soulstride Flow,"$2,519",TERREX,4
Tenis Duramo SL,$876,Running,8
Tenis Superstar,"$2,199",Originals,2
Tenis Swift Run,"$1,816",Sportswear,4
Calzado de Fútbol Predator Club Multiterreno con Ajuste tipo Calcetín,"$1,499",Fútbol,1
Tenis Gazelle,"$2,099",Originals,14
Tenis NMD_R1,"$2,855",Originals,1
Tenis Bravada,"$1,299",Sportswear,3
Tenis Forum Bonega,"$2,132",Originals,3
Tenis Superstar,"$2,299",Originals,23
Tenis Handball Spezial,"$2,199",Originals,10
Tenis adidas adidas Court Tourino,"$1,500",Originals,3
Tenis Adizero Adios Pro 3 Cierra,"$4,199",Running,1
Tenis Stan Smith,"$2,099",Originals,10
Tenis Amsterdam,"$2,199",Originals,2
Calzado de Fútbol Predator 24 League Sin Cordones Pasto Sintético,"$2,399",Fútbol,2
TERREX HYDROTERRA AT,"$2,499",TERREX,1
Tenis Adifom Superstar,"$1,799",Originals,3
Tenis Superstar,"$2,199",Originals,1
Tenis Tennis Hu,"$2,399",Originals,5
Tenis Forum Low Classic,"$2,399",Originals,10
Tenis X_PLR Boost,"$3,999",Sportswear,2
Tenis Questar,"$1,500",Running,7
Tenis Fear of God Athletics Los Angeles,"$2,899",Fear of God Athletics,1
ADIZERO ADIOS PRO 3 M,"$4,999",Running,7
RIVALRY LOW,"$2,199",Originals,2
Tenis Adistar CS 2.0,"$3,191",Running,2
Calzado de Fútbol Predator League sin Cordones Terreno Firme,"$2,399",Fútbol,2
Calzado de Fútbol Goletto VIII Pasto Sintético,"$1,199",Fútbol,3
ADIDAS  X NICEKICKS SAMBA,"$2,699",Originals,1
Tenis NMD_R1,"$2,685",Originals,31
Tenis Forum Low,"$2,399",Originals,11
Tenis Forum Low,"$2,399",Originals,11
Tenis Tennis Hu,"$2,399",Originals,5
Tenis Ultraboost 1.0,"$3,999",Sportswear,6
Tenis Forum Bonega,"$2,699",Originals,3
Tenis Run 70s,"$1,061",Hombre Sportswear,4
Tenis Advantage Base adidas Court Lifestyle,"$1,299",Sportswear,6
Tenis Retropy F2,"$1,763",Originals,4
Calzado de Fútbol Predator Club Multiterreno,"$1,499",Fútbol,3
Tenis Trae Young 1,"$2,606",Basketball,3
ADIZERO ADIOS PRO 3 M,"$4,999",Running,7
Tenis Postmove SE,"$1,444",Sportswear,2
Sandalias Adilette 22,"$1,299",Hombre Originals,14
Tenis Run 60s 3.0 Lifestyle Running,"$1,499",Sportswear,5
Y-3 GSG9,"$9,499",Y-3,1
Tenis Superstar XLG,"$2,183",Originals,7
Tenis Country OG,"$2,199",Originals,1
Tenis Galaxy 6,"$1,184",Running,14
CAMPUS 00s REGENERATIVE COTTON,"$2,599",Originals,2
Tenis de Senderismo Terrex AX4 GORE-TEX,"$2,606",TERREX,5
Tenis adidas Grand Court 2.0,"$1,499",Sportswear,2
Tenis Racer TR23,"$1,999",Sportswear,11
Tenis Courtphase,"$1,399",Sportswear,2
Tenis Dropset 2,"$2,599",Training,10
RIVALRY 86 LOW,"$2,499",Originals,3
Tenis Duramo SL 2.0,"$1,499",Running,5
Tenis Adizero Boston 11,"$3,611",Running,6
Tenis Grand Court Base 2.0,"$1,399",Sportswear,1
Tenis Forum Mid,"$3,399",Originals,1
Tenis Adizero Prime X 2.0 STRUNG,"$5,999",Running,2
Sandalias Adilette 22,"$1,299",Hombre Originals,1
Tenis Galaxy 6,"$1,499",Running,14
ADIZERO SL,"$1,592",Running,16
CAMPUS 00s,"$2,499",Originals,1
Tenis Dropset 2,"$2,599",Training,10
Tenis Supernova Running 3,"$1,415",Running,4
Tenis Busenitz Pro,"$2,299",Originals,1
Tenis adidas VL Court 3.0,"$1,499",Sportswear,4
Tenis Forum Low,"$2,399",Originals,11
Tenis Midcity Low,"$1,699",Sportswear,4
Calzado de Fútsal Predator Club Cancha Cubierta,"$1,499",Fútbol,2
Tenis Gazelle,"$2,099",Originals,2
Restound M,"$1,263",Running,2
Tenis Forum Exhibit Low,"$2,499",Hombre Originals,2
Tenis Ultraboost 1.0,"$4,299",Running,7
Calzado X Crazyfast.4 Multiterreno,"$1,499",Fútbol,3
Tenis Samba DDM,"$2,199",Originals,3
Tenis Gazelle,"$2,099",Originals,2
Tenis Ultraboost 1.0,"$4,599",Running,2
Tenis Barricade para Tenis,"$3,299",Tennis,3
FORUM LOW,"$2,399",Hombre Originals,11
Tenis Hoops 3.0 Low Classic Vintage,"$1,499",Sportswear,7
Tenis Courtblock,"$1,199",Sportswear,4
Tenis Bali,"$2,399",Originals,1
Tenis adidas VL Court 3.0,"$1,499",Sportswear,4
Tenis Trae Young 3,"$3,023",Basketball,3
Tenis Avryn,"$2,519",Sportswear,14
Tenis adidas Court Low Streetcheck Cloudfoam,"$1,342",Sportswear,4
Tenis 3-Franjas,"$1,099",Sportswear,5
Tenis Rivalry Low 86,"$2,299",Originals,1
Calzado de Fútbol Predator League Terreno Firme,"$2,199",Fútbol,2
Tenis Superstar XLG,"$2,499",Originals,7
Levato W,$965,Running,2
Tenis Centennial 85 High,"$2,687",Originals,1
Calzado de Fútbol Predator Club Multiterreno,"$1,499",Fútbol,3
Sandalias Adilette 22,"$1,019",Hombre Originals,14
FORUM LOW CL,"$2,399",Originals,1
Tenis Dropset 2,"$2,599",Training,10
Tenis NMD_R1,"$2,685",Originals,10
Tenis Handball Spezial,"$2,199",Originals,10
NMD_R1,"$2,999",Originals,2
Tenis Forum Low,"$2,399",Originals,5
Tenis Duramo RC,"$1,299",Running,5
Calzado X Crazyfast.3 Césped artificial,"$2,199",Fútbol,3
Calzado de Fútbol Predator League sin Cordones Terreno Firme,"$2,399",Fútbol,2
Tenis Superstar,"$2,299",Originals,23
